City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
527,Miri,MY,78.94,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
530,West Wendover,US,79.81,clear sky,40.7391,-114.0733,"Motel 6 Wendover, UT"
539,Makat,KZ,88.56,broken clouds,47.6469,53.3463,Umit
540,Bama,NG,78.8,overcast clouds,11.5221,13.6856,UN Humanitarian Hub
541,Taber,CA,88.0,clear sky,49.8167,-112.1518,Taber Motel
542,Nantucket,US,87.91,clear sky,41.2835,-70.0995,Jared Coffin House
543,Daru,PG,76.53,overcast clouds,-9.0763,143.2092,Daru Lodge
549,Puri,IN,81.12,overcast clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
551,Glossa,GR,83.08,clear sky,35.4717,23.7763,Elia Hotel & Spa
555,Garowe,SO,83.32,broken clouds,8.4054,48.4845,Curubo Hotel
556,Coxim,BR,88.39,overcast clouds,-18.5067,-54.76,Rancho Da Curica
557,Madang,PG,76.73,overcast clouds,-5.2246,145.7966,Comfort Inn Hotel
560,Wanxian,CN,83.95,overcast clouds,30.8039,108.3897,7Days Inn Chongqing Shiqiaopu
567,San Rafael Del Sur,NI,81.57,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
569,Minokamo,JP,81.37,broken clouds,35.482,137.0217,Satoyama Petting Farm
571,Biltine,TD,85.28,light rain,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
574,Along,IN,77.74,broken clouds,28.1667,94.7667,Hotel West
576,Labuhan,ID,76.95,scattered clouds,-6.8844,112.2051,DoubleFAG
580,Andijon,UZ,85.28,scattered clouds,40.7821,72.3442,"Hotel ""Bog'ishamol"""
588,Miloslavskoye,RU,76.01,heavy intensity rain,53.5815,39.4399,Don
590,Monrovia,LR,76.77,overcast clouds,6.3005,-10.7969,Sunset Inn
591,Alvinopolis,BR,83.46,overcast clouds,-20.1067,-43.0489,Hotel São Geraldo
592,Bosaso,SO,88.3,broken clouds,11.2842,49.1816,Red Sea Hotel
594,Pemangkat,ID,78.98,clear sky,1.1667,108.9667,Hotel Duyung Permai 2
597,Cabral,DO,89.46,broken clouds,18.25,-71.2167,galvin feliz
598,Koceljeva,RS,80.37,scattered clouds,44.4736,19.8117,Motel Dvorac Ivanović
599,Kota Kinabalu,MY,78.78,few clouds,5.9749,116.0724,Gaya Centre Hotel
601,Mashhad,IR,80.74,clear sky,36.297,59.6062,Khanye Sabz Hotel
608,Casablanca,MA,80.82,few clouds,33.5928,-7.6192,فندق البيت المغربي كازبلانكا
610,Atoyac,MX,79.12,broken clouds,20.0167,-103.5333,OYO Hotel Del Portal
616,Puerto Leguizamo,CO,85.46,overcast clouds,-0.1934,-74.7819,la casona de juancho
621,Saposoa,PE,88.61,few clouds,-6.934,-76.7716,Hostal Primavera
622,Guamuchil,MX,87.75,overcast clouds,25.4667,-108.1,Hotel Heredia
624,Cam Ranh,VN,78.76,scattered clouds,11.9214,109.1591,OYO 598 Peony Hotel
625,Sitia,GR,82.98,clear sky,35.2,26.0986,Sitia Bay
627,Axim,GH,76.19,scattered clouds,4.8699,-2.2405,Axim Beach Resort And Spa
628,Teguise,ES,75.42,few clouds,29.0605,-13.564,B&B La Casona de Nazaret
630,Castelldefels,ES,87.48,clear sky,41.2779,1.9703,Aparthotel Solifemar
634,Boa Esperanca Do Sul,BR,77.34,overcast clouds,-21.9925,-48.3908,Pousada do Ipê
644,Tanggu,CN,75.16,overcast clouds,39.0211,117.6469,Ibis Tianjin Tanggu Hotel
652,Linqiong,CN,84.02,overcast clouds,30.4159,103.4609,Tianlun Tanxianglou Hotel
660,Mahon,ES,86.56,clear sky,39.8885,4.2658,ARTIEM Capri
663,Surat Thani,TH,78.12,overcast clouds,9.1667,99.25,Suankafae Resort
664,Glenwood Springs,US,87.4,scattered clouds,39.5505,-107.3248,Glenwood Springs Cedar Lodge
666,Mantua,IT,87.04,broken clouds,45.1667,10.7833,Hotel la Favorita
668,Tiruchchendur,IN,81.14,overcast clouds,8.4833,78.1167,"Hotel Udhayam International, Thiruchendur"
669,Shingu,JP,78.24,overcast clouds,33.7333,135.9833,Shingu UI Hotel
670,Grand-Lahou,CI,76.3,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
677,Mabaruma,GY,84.2,broken clouds,8.2,-59.7833,Monty Brooms Guest House
680,Namatanai,PG,77.94,light rain,-3.6667,152.4333,Seagulls Inn Namatani
682,Urumqi,CN,77.95,clear sky,43.801,87.6005,Hua Ling Grand Hotel Urumqi
684,Ormara,PK,82.51,broken clouds,25.2088,64.6357,Kenara Colony House for Rent
686,Nkan,GA,77.43,overcast clouds,0.3833,9.7833,Hôtel Santa Barbara
687,Bontang,ID,77.7,overcast clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
688,Pierre,US,81.52,clear sky,44.3683,-100.351,Ramkota Hotel
689,Surt,LY,82.8,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
697,Zhumadian,CN,84.79,overcast clouds,32.9794,114.0294,Ouyue House Hotel
698,Qabaqcol,AZ,76.01,broken clouds,41.72,46.2647,Дом Гурбанова(Ах|макишиль) Шабан
705,Nicoya,CR,78.55,overcast clouds,10.1483,-85.452,Las Cabinas Del Sueño
708,Vila,PT,77.7,scattered clouds,42.0304,-8.1588,Hotel Castrum Villae by Walk Hotels
